front,back,Fdown,Bdown,code
254,715,-19,-20,
254,698,-19,-20,
254,659,-19,-20,
254,607,-19,-20,
254,572,-19,-20,
254,513,-19,-20,
254,427,-19,-20,
254,401,-19,-20,
254,379,-19,-20,
254,409,-19,-20,
254,406,-19,-20,
254,421,-19,-20,
254,447,-19,-20,
254,520,-19,-20,
254,573,-19,-20,
254,607,-19,-20,
254,612,-19,-20,
254,607,-19,-20,
254,610,-19,-20,
254,619,-19,-20,
254,620,-19,-20,
254,625,-19,-20,
254,614,-19,-20,
254,611,-19,-20,
254,608,-19,-20,
254,601,-19,-20,
254,592,-19,-20,
254,590,-19,-20,
254,579,-19,-20,
254,573,-19,-20,
254,576,-19,-20,
254,573,-19,-20,
254,570,-19,-20,
254,552,-19,-20,
254,514,-19,-20,
254,505,-19,-20,
254,522,-19,-20,
254,549,-19,-20,
254,577,-19,-20,
254,606,-19,-20,
254,630,-19,-20,
254,653,-19,-20,
254,677,-19,-20,
254,686,-19,-20,
254,693,-19,-20,
254,704,-19,-20,
254,710,-19,-20,
254,721,-19,-20,
254,724,-19,-20,
254,735,-19,-20,
254,743,-19,-20,
254,752,-19,-20,
254,766,-19,-20,
254,784,-19,-20,
254,789,-19,-20,
254,795,-19,-20,
254,796,-19,-20,
254,795,-19,-20,
254,793,-19,-20,
254,790,-19,-20,
254,788,-19,-20,
254,786,-19,-20,
254,786,-19,-20,
254,787,-19,-20,
254,779,-19,-20,
254,773,-19,-20,
254,775,-19,-20,
254,775,-19,-20,
254,770,-19,-20,
254,780,-19,-20,
254,805,-19,-20,
254,824,-19,-20,
254,865,-19,-20,
254,888,-19,-20,
254,895,-19,-20,
254,891,-19,-20,
254,860,-19,-20,
254,755,-19,-20,
254,604,-19,-20,
254,563,-19,-20,
254,514,-19,-20,
254,487,-19,-20,
254,461,-19,-20,
254,415,-19,-20,
254,325,-19,-20,
254,283,-19,-20,
254,260,-19,-20,
254,200,-19,-20,
254,184,-19,-20,
254,167,-19,-20,
254,168,-19,-20,
254,165,-19,-20,
254,164,-19,-20,
254,170,-19,-20,
254,171,-19,-20,
254,164,-19,-20,
254,160,-19,-20,
254,177,-19,-20,
579,134,-19,,
555,89,-19,,
612,33,-19,,
616,32,-19,,
591,6,-19,,
521,7,-19,,
438,8,-19,,
362,1,-19,,
389,9,-19,,
398,5,-19,,
379,6,-19,,
337,0,-19,,
354,0,-19,,
355,5,-19,,
398,14,-19,,
415,17,-19,,
435,30,-19,,
358,100,-19,,
308,135,-19,,
234,245,-19,,
168,279,,,
168,467,,-20,
168,669,,-20,
168,715,,-20,
168,717,,-20,
168,756,,-20,
168,786,,-20,
168,790,,-20,
168,795,,-20,
168,799,,-20,
168,791,,-20,
168,793,,-20,
168,796,,-20,
168,800,,-20,
168,803,,-20,
168,806,,-20,
168,815,,-20,
168,822,,-20,
168,830,,-20,
168,841,,-20,
168,848,,-20,
168,857,,-20,
168,860,,-20,
168,858,,-20,
168,848,,-20,
168,818,,-20,
168,765,,-20,
168,678,,-20,
168,561,,-20,
168,515,,-20,
168,476,,-20,
168,477,,-20,
168,473,,-20,
168,486,,-20,
168,519,,-20,
168,563,,-20,
168,579,,-20,
168,594,,-20,
168,626,,-20,
168,662,,-20,
168,693,,-20,
168,737,,-20,
168,777,,-20,
168,806,,-20,
168,822,,-20,
168,833,,-20,
168,849,,-20,
168,863,,-20,
168,869,,-20,
168,868,,-20,
168,865,,-20,
168,865,,-20,
168,871,,-20,
168,878,,-20,
168,888,,-20,
168,896,,-20,
168,898,,-20,
168,899,,-20,
168,899,,-20,
168,899,,-20,
168,898,,-20,
168,896,,-20,
168,894,,-20,
168,893,,-20,
168,890,,-20,
168,880,,-20,
168,862,,-20,
168,822,,-20,
168,771,,-20,
168,733,,-20,
168,674,,-20,
168,549,,-20,
168,532,,-20,
168,522,,-20,
168,491,,-20,
168,422,,-20,
168,401,,-20,
168,391,,-20,
168,397,,-20,
168,405,,-20,
168,421,,-20,
168,452,,-20,
168,476,,-20,
168,539,,-20,
168,605,,-20,
168,809,,-20,
168,832,,-20,
168,868,,-20,
168,875,,-20,
168,876,,-20,
168,879,,-20,
168,884,,-20,
168,888,,-20,
168,886,,-20,
168,876,,-20,
168,870,,-20,
168,869,,-20,
168,869,,-20,
